theta0: 0.02774310344827586, theta1: 0.007271337307806362
theta0: 0.05402887171495839, theta1: 0.013998270875708534
theta0: 0.07893666549616536, theta1: 0.020210848719932437
theta0: 0.10254151687253305, theta1: 0.02593747897131519
theta0: 0.12491436542392732, theta1: 0.03120501932907217
theta0: 0.14612228146467204, theta1: 0.03603886163507342
theta0: 0.1662286771018393, theta1: 0.04046301183479383
theta0: 0.18529350578082426, theta1: 0.044500165576582776
theta0: 0.20337345094619463, theta1: 0.048171779687172386
theta0: 0.2205221044115508, theta1: 0.0514981397483656
theta0: 0.23679013499974455, theta1: 0.054498423987575165
theta0: 0.2522254479841853, theta1: 0.05719076368328415
theta0: 0.26687333583301126, theta1: 0.05959230027553047
theta0: 0.28077662073053444, theta1: 0.06171923936114844
theta0: 0.29397578932448776, theta1: 0.06358690174369631
theta0: 0.30650912012313924, theta1: 0.06520977169872949
theta0: 0.3184128039432042, theta1: 0.0666015426063156
theta0: 0.3297210577876182, theta1: 0.06777516009440197
theta0: 0.3404662325115553, theta1: 0.06874286282881258
theta0: 0.3506789146155285, theta1: 0.06951622107824497
theta0: 0.3603880224859251, theta1: 0.07010617317563567
theta0: 0.369620897385856, theta1: 0.07052305999064197
theta0: 0.37840338948267715, theta1: 0.070776657521729
theta0: 0.38675993918292, theta1: 0.07087620771043289
theta0: 0.3947136540306007, theta1: 0.0708304475747762
theta0: 0.4022863814109148, theta1: 0.07064763675352166
theta0: 0.40949877728812367, theta1: 0.07033558354794922
theta0: 0.41637037119395787, theta1: 0.0699016695431128
theta0: 0.42291962767106217, theta1: 0.0693528728860628
theta0: 0.42916400436485197, theta1: 0.06869579029429351
theta0: 0.4351200069466013, theta1: 0.0679366578636787
theta0: 0.4408032410406115, theta1: 0.06708137074138028
theta0: 0.4462284613188807, theta1: 0.06613550172564316
theta0: 0.45140961791777956, theta1: 0.0651043188510119
theta0: 0.45635990032281204, theta1: 0.06399280201431207
theta0: 0.46109177885957053, theta1: 0.06280565869372028
theta0: 0.4656170439214618, theta1: 0.0615473388103926
theta0: 0.4699468430576573, theta1: 0.06022204877942285
theta0: 0.47409171603798755, theta1: 0.0588337647943508
theta0: 0.4780616280051332, theta1: 0.05738624538702828
theta0: 0.4818660008184463, theta1: 0.05588304330237077
theta0: 0.485513742688044, theta1: 0.05432751672536563
theta0: 0.4890132761924354, theta1: 0.052722839895670004
theta0: 0.49237256476785735, theta1: 0.05107201314320379
theta0: 0.4955991377526823, theta1: 0.04937787237632102
theta0: 0.49870011406571624, theta1: 0.04764309805242022
theta0: 0.501682224592905, theta1: 0.0458702236592254
theta0: 0.5045518333529012, theta1: 0.04406164373342943
